left ventricle myocardium superior,Right ventricle myocardium superior,mucosa of descending colon,heart left ventricle,posterior vena cava,left cardiac atrium,aorta,ovary,adrenal gland,mesenteric fat pad,upper lobe of right lung,heart right ventricle,left ventricle myocardium inferior,left colon,right cardiac atrium,lower lobe of right lung,lower lobe of left lung,kidney,psoas muscle,Right ventricle myocardium inferior,cardiac septum
0.0,0.0,0.0,0.0,0.6749046260339546,0.0,-0.6540041451508076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.6357256144030428,0.0,0.6066074947611361,0.0,0.0,-0.8049089846971216,0.0,0.0,0.0,0.0,0.0,0.0,0.3708376953683088,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-4.105827047386216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.622437206139819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7037987302310067,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07605424021175147,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.2176388913658132,0.0,0.0,-0.13385574673479061,0.0,-1.0865367504679952,0.0,0.0,-0.250543461650597,0.0,0.0,-0.3529765311465923,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07240849552805002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0262887673987224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7714582653668326,0.0,0.0,2.658491536143121,1.7644463305883131,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48319182278693334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10508204605755751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
