left ventricle myocardium superior,Right ventricle myocardium superior,mucosa of descending colon,heart left ventricle,posterior vena cava,left cardiac atrium,aorta,ovary,adrenal gland,mesenteric fat pad,upper lobe of right lung,heart right ventricle,left ventricle myocardium inferior,left colon,right cardiac atrium,lower lobe of right lung,lower lobe of left lung,kidney,psoas muscle,Right ventricle myocardium inferior,cardiac septum
0.0,0.0,0.0,0.0,0.6333602563062448,0.0,-0.1925448873078969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.6911619045530814,0.0,0.5185535727636804,0.0,0.0,-0.4478436443620854,0.0,0.0,0.0,0.0,0.0,0.0,0.30580842952408543,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-2.540085686313013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.358453970912476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0214189836349057,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2872357288921906,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.084888897586513,0.0,0.0,-0.5542657034982398,0.0,-1.3260324932200989,0.0,0.0,-0.5772901424745287,0.0,0.0,-0.6698513983076693,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23815973719476455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.8328694598204056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3634363027916314,0.0,0.0,1.844113472067722,1.8370656901359348,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1943780451668513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06316358416118828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026693418175696097,0.0,0.0,-0.4687809317689219,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.940166750482817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3778368360380187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3214485552316629,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3839149817830633,0.0,0.0,0.0,0.0,0.0,-0.7732660314783232,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.4890380807226206,0.0,-0.25585201024797655,0.0,-0.1659560992393668,0.0,-0.02272007650008353,-0.05332489096894035,0.0,0.0,0.0,0.0,0.0,-0.3288808555291294,-0.06264936105104804,0.0,-0.014919419835738978,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6300503902496941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2846114843722482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43459029670024424,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7797229676655573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6185111976966087,-0.8975093593142096,-0.8614049495393444,-0.03170885972733814,-0.8458999657193701,-0.7987475015185045,0.0,0.0,0.0,0.0,-0.2153376638024974,-0.3294749039407104,-0.9106574255314378,-0.611580269772113,-0.2666757285315,-0.37690237039207275,-0.4854268271702417,0.0,0.0,0.0,-0.6546129322886488
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4634388145147699,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3977406757978112,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.09686153925258903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4405725913859815,0.0,0.0,0.0,0.0,0.0,0.0,-1.516575525740906,0.0,0.0,0.0,0.0,0.0,0.0
1.3959286763311394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8354871256507808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0762658942280674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.5838789895617857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.396477516526408,0.0,0.8953133717089854,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.3404784912591423,0.0,0.0,0.0,-0.3807746747622988,0.0,0.0,0.0,-0.8780094756213898,-0.4138735661452079,0.0,-0.5811407897687478,0.0,0.0,0.0,-0.43365317744619075,0.0,0.0
0.0,0.0,0.0,0.0,0.5626144873899604,0.0,0.2185309304458319,0.289506617194985,0.0,0.4983401459734052,0.0,0.0,0.0,0.0,1.1926450779423958,0.0,0.3488564222943662,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9275785202620267,0.0,0.0,0.0,3.4785404415850016,0.0,0.0,3.0261895239808627,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2087948179357255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1740293997750489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21380172953895907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7244612157180936,0.0,0.0,-1.4867417551429856,-0.9185336326951554,0.0,0.0,-0.6000299488100979,0.0,0.0,0.0,-1.7033572015233867,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.756280737463335,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.868355994189529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3308336481092544,0.0,0.0,1.1413558492455416,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5290609364615023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.07721442641720365,0.3422811568435297,0.0,-0.41070660042897833,-0.21827631286421606,0.22870229166232958,0.0,0.0,-0.03910941644704432,0.0,0.0,-0.1632431858367399,0.0,0.0,0.0,-0.009999784146312016,0.0,-0.09997597685433351
