left ventricle myocardium superior,Right ventricle myocardium superior,mucosa of descending colon,heart left ventricle,posterior vena cava,left cardiac atrium,aorta,ovary,adrenal gland,mesenteric fat pad,upper lobe of right lung,heart right ventricle,left ventricle myocardium inferior,left colon,right cardiac atrium,lower lobe of right lung,lower lobe of left lung,kidney,psoas muscle,Right ventricle myocardium inferior,cardiac septum
0.0,0.0,0.0,0.0,0.42026225368244047,0.0,-1.0020480874045772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.3596130138875535,0.0,0.6009336934121602,0.0,0.0,-0.867534433316676,0.0,0.0,0.0,0.0,0.0,0.0,0.2095895605698168,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-5.3746024507711985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.312986224120066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9522096931648403,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.031158597879277,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.6544887275036304,0.0,0.0,0.8825840768712054,0.0,-0.01658082331006608,0.0,0.0,0.49125736360601274,0.0,0.0,0.3381747207771224,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1479632386653924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.5904611442048346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3015011558633045,0.0,0.0,3.0940827447976784,2.986805308063351,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4997092893579653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2539861871249232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5998004314696042,0.0,0.0,0.043608732378548634,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9421081518847911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3303950923819083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2797742937618317,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8739317409824279,0.0,0.0,0.0,0.0,0.0,-0.9187008127516509,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.9478203068371827,0.0,0.8696788328135908,0.0,0.9944401129736039,0.0,1.0262339965983045,0.9882751279514359,0.0,0.0,0.0,0.0,0.0,1.0965634277234377,1.0448090818275184,0.0,1.3525159464505505,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024034413474564253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.04263030370856425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.388180851310933,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7518665822376737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8608503493423666,-1.2121146004374155,-1.2925772743926736,-0.04134980010513322,-0.7387078667258749,-0.6360756548005139,0.0,0.0,0.0,0.0,-0.5844909811623529,-0.3140171324548925,-1.1507790487760272,-0.738436617815771,-0.260894848261506,-0.8646856827164668,-0.44714073954821393,0.0,0.0,0.0,-0.5772474077395913
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.522746647050048,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7271876134136233,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.7491491193768396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9236398520889872,0.0,0.0,0.0,0.0,0.0,0.0,-1.9462760911709425,0.0,0.0,0.0,0.0,0.0,0.0
0.6290823949533141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.997398338659507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.951869792323963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.5167872630575965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5825056087424687,0.0,2.0324052781070576,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.6893643352834398,0.0,0.0,0.0,-0.7956882984150445,0.0,0.0,0.0,-1.1774464622427039,-0.3915556906978736,0.0,-0.6780103851086694,0.0,0.0,0.0,-0.4019135302835251,0.0,0.0
0.0,0.0,0.0,0.0,2.61329967260923,0.0,1.363893690030696,2.087627577118374,0.0,2.172947218871557,0.0,0.0,0.0,0.0,2.6692702093714056,0.0,2.273804444457186,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9548400100662524,0.0,0.0,0.0,4.036154974440235,0.0,0.0,3.116656980586968,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125017299534705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3451053861176923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9556829781969622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6072421123939156,0.0,0.0,-2.0300758985571865,-3.502575079653468,0.0,0.0,-1.6368952541560216,0.0,0.0,0.0,-3.7150271276390296,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5571904151441949,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0449567410326384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47627144889383,0.0,0.0,2.3096908883167555,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5934244501622736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.34217447518877286,1.162288221266663,0.0,0.4992855118446357,0.4555532356289338,0.6384272231165242,0.0,0.0,0.49990568068882457,0.0,0.0,0.17177199774843266,0.0,0.0,0.0,0.5891928022563359,0.0,0.4240838792954382
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7288454515336055,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.275704870923875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0799260891814977,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500192252785824,4.3684556238918395,3.5713222819532104,2.9540817323243718,0.0,0.0,0.0,0.0,3.62557165878226,2.631504268682024,3.12485712270158,0.0,0.0,0.0
0.3497332213016107,0.28695367678437106,1.4532507160284982,0.5242273049326387,0.6687996294510906,0.0,0.5351727829764721,0.680412658358078,1.07480200039922,-3.811020459929375,0.4848103435031689,0.9246598271422292,1.0002511515461365,-1.2400631905858148,0.6160417168270718,0.10885792248814706,0.38635535101427676,0.3185666852451144,1.2255963401487633,0.9950570305311079,0.07413420860021591
0.0,0.0,0.0,0.0,0.0,0.0,1.0132731119412477,0.0,0.0,0.5410973397357941,0.0,0.0,0.0,0.0,0.0,0.0,0.7201157995230082,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.5203299682129345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0450856531761004,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3431437278370184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2943359879527154
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6845759217207645,0.0,0.0,0.0,0.0,0.0,0.0,1.2375532559086426,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.2208016200348193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8114588354245416,0.0,0.0,3.0925016170538018,0.0,0.0,0.0,3.3806908268230367,0.0,1.78348066838999
0.0,0.0,0.0,-0.37594510679680093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28707911698933924,0.0,0.0,0.0,0.0,0.0,0.0,0.8121486346499772,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9272994011226143,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.548472357978859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.504565607428879,0.0,0.0,0.0,0.0,2.1546571920779143,0.0,2.878641324346122,0.0,0.0,0.0,0.0,1.637521695614074,0.0,1.6869277404658276,0.0,2.276663007758998,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.602920883160785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.36302702738845954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2119490543305327,0.0,0.0,0.0,0.0,0.0,0.0,0.7925619102464659,0.0,-0.1452179206957262,0.0,-0.2699335034056723,0.0,0.0
6.322311833741368,6.388560669565671,-1.047217374191781,7.438571089108884,0.18772549372621128,0.0,0.8729842019664056,0.24956217435554331,0.0,0.0,0.0,6.466935829683415,5.793924578906692,0.0,6.422576337508162,0.0,0.0,0.0,4.947588684166953,0.0,6.116042170243713
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.119251504307774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.843226378235157,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.951111211521069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48598889814317064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
